3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!		Tama and Friends movie
3 Choume no Tama: Uchi no Tama Shirimasenka?	Tama and Friends	San Choume no Tama Uchi no Tama Shirimasenka?
3-D Heaven		3D Tengoku
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku		San Nen C Gumi Juuyon Ban Kubozono Chiyoko No Nyuukaku
3-Nen D-Gumi Glass no Kamen	The Glass Mask Year 3 Class D	
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road		3-Nen D-Gumi Glass no Kamen Gekijouban
3-bu de Wakaru Koizumi Yakumo no Kaidan		Eagle Talon
3-gatsu no Lion	March comes in like a lion	Sangatsu no Lion
3-gatsu no Lion 2nd Season	March Comes In Like A Lion 2nd Season	Sangatsu no Lion Second Season
3-gatsu no Lion Recap	Marches Comes in Like a Lion: Special Omnibus Episode	3-gatsu no Lion Episode 11.5
3-gatsu no Lion meets Bump of Chicken	March comes in like a lion meets Bump of Chicken	Sangatsu no Lion meets Bump of Chicken
3-tsu no Hanashi		Three Tales
3-tsu no Kumo	Trilogy about Cloud	Mittsu no Kumo
30-sai no Hoken Taiiku	A Thirty-Year Old&#039;s Health and Physical Education	Sanjuu-sai no Hoken Taiiku
30-sai no Hoken Taiiku Specials		Sanjuu-sai no Hoken Taiiku Specials
300 En no Otsukiai Anime Edition		
30th Gundam Perfect Mission		
3D Kanojo: Real Girl		3D Girlfriend
3D Onara Gorou ga Dance Dance Dance!!		
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation		
3x3 Eyes	3x3 Eyes	Sazan Eyes
3x3 Eyes Seima Densetsu	3x3 Eyes: Legend of the Divine Demon	Shin 3x3 Eyes
