C.L.A.Y.		
C: The Money of Soul and Possibility Control	[C] CONTROL - The Money and Soul of Possibility	[C] The Money of Soul and Possibility Control
CB Chara Go Nagai World	CB Character: Nagai Gou World	Chibichiara: Nagai Go Sekai
CCW: Crazy Clay Wrestling		
CLAMP in Wonderland		
CLAMP in Wonderland 2		
CMFU Xueyuan: Shenshi Ji Jijian		
CMFU Xueyuan: Wangzi Peng Peng Qiu		
Cabbage UFO		Minna no Uta
Cafe Junkie		
Cafe de Oni		Denki Groove: Cafe de Oni
Cake Sushi		Cake Sushi: Halloween-hen
Cakes		
Calbee Hitokuchi Gekijou		
California Crisis: Tsuigeki no Juuka	California Crisis: Gun Salvo	California Crisis: Tsuigeki no Juka
Caligula		The Caligula Effect
Calihara no Uta		Karihara no Uta
Calimero		Karimero
Call Me Tonight	Call Me Tonight	Pink Noise
Calligraffiti		Carigraffiti
Calm		
Cambrian		
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou	Campione!	Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou
Campus		
Can Can Bunny Extra	Can Can Bunny	Can Can Bunny Extra - Lucky 7
Canaan	Canaan	428: Fuusa Sareta Shibuya de Tokubetsu-hen
Canaan: Minorikawa Report 201X Shanghai	Canaan: Minorikawa Report Year 201X Shanghai	Canaan Special
Canary		
Canary wa Kago no Naka	Cage	Kanariya wa Kago no Naka
Candle	Candle	
Candy Boy Episode: EX01 - Mirai Yohouzu		Candy Boy EX1
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron		Candy Boy Extra Episode
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life		CB
Candy Candy		
Candy Candy (Movie)		
Candy Candy: Candy no Natsu Yasumi	Candy Candy: Candy&#039;s Summer Vacation	Candy Candy&#039;s Summer Holidays
Candy Candy: Haru no Yobigoe	Candy Candy: The Call of Spring	
Candy no Yume		Minna no Uta
Candy☆Boy: Side Story For Archive		Candy Boy Episode 0
Canvas 2: Niji-iro no Sketch	Canvas 2: Rainbow Colored Sketch	
Canvas: Sepia-iro no Motif		Canvas: Motif Of Sepia
Capeta		
Capricorn		
Capsule Boy	Capsule Boy	
Capsule Samurai	The Capsule Samurai	
Captain		
Captain (TV)		
Captain Earth	Captain Earth	
Captain Future		
Captain Future: Kareinaru Taiyokei Race		Captain Future Kareinaru Taiyoukei Race
Captain Herlock	Space Pirate Captain Harlock	
Captain Tsubasa		Flash Kicker
Captain Tsubasa (2018)		
Captain Tsubasa J		
Captain Tsubasa: Asu ni Mukatte Hashire!		Captain Tsubasa: Ashita ni Mukatte Hashire!
Captain Tsubasa: Ayaushi! Zen Nihon Jr.		Captain Tsubasa: Ayaushi! Zen Nippon Jr.
Captain Tsubasa: Europe Daikessen		Captain Tsubasa: Europa Daikessen
Captain Tsubasa: Road to 2002	Captain Tsubasa	Captain Tsubasa (2001)
Captain Tsubasa: Saikyou no Teki! Holland Youth		Captain Tsubasa - Holland Youth
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup		Captain Tsubasa MOVIE (1986 Summer)
Captain the Movie		Captain Gekijouban
Car Radio	Car Radio	
Card Wang: Mix Master	Mix Master: King of Cards	Card Ou Mix Master
Cardcaptor Sakura	Cardcaptor Sakura	CCS
Cardcaptor Sakura Movie 1	Cardcaptor Sakura The Movie	Card Captor Sakura
Cardcaptor Sakura Movie 2: Fuuin Sareta Card	Card Captor Sakura Movie 2: The Sealed Card	Card Captors Sakura The Movie 2
Cardcaptor Sakura: Clear Card-hen	Cardcaptor Sakura: Clear Card	Cardcaptor Sakura: Clear Card Arc
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma		
Cardcaptor Sakura: Clear Card-hen Recap	Cardcaptor Sakura: Clear Card Recap	Cardcaptor Sakura: Clear Card Arc Recap
Cardcaptor Sakura: Kero-chan ni Omakase!		Cardcaptor Sakura: Leave it to Kero-chan
Cardfight!! Vanguard	Cardfight!! Vanguard	
Cardfight!! Vanguard (2018)		
Cardfight!! Vanguard G	Cardfight!! Vanguard G	
Cardfight!! Vanguard G: GIRS Crisis-hen	Cardfight!! Vanguard G GIRS Crisis	
Cardfight!! Vanguard G: Next	Cardfight!! Vanguard G NEXT	
Cardfight!! Vanguard G: Stride Gate-hen	Cardfight!! Vanguard G Stride Gate	
Cardfight!! Vanguard G: Z	Cardfight!! Vanguard G Z	
Cardfight!! Vanguard Movie: Neon Messiah		Gekijouban Cardfight!! Vanguard: Neon Messiah
Cardfight!! Vanguard: Asia Circuit-hen	Cardfight!! Vanguard Asia Circuit	Cardfight!! Vanguard: Asia Circuit Chapter
Cardfight!! Vanguard: Legion Mate-hen	Cardfight!! Vanguard Legion Mate	
Cardfight!! Vanguard: Link Joker-hen	Cardfight!! Vanguard Link Joker	Cardfight!! Vanguard Third Season
Caribadix	Caribadix	Deeky & Carina
Caribadix 2nd Season	Caribadix 2nd Season	Deeky and Carina 2nd Season
Carino Coni		
Carnival Phantasm		Carnival Phantasm
Carnival Phantasm EX Season		Carnival Phantasm OVA
Carnival Phantasm: HibiChika Special		Carnival Phantasm (2013)
Carnival Phantasm: Illya-jou		Carnival Phantasm Special
Carol		Carol: A Day In A Girl&#039;s Life
Carol & Tuesday		
Cartagra: Tsuki Gurui no Yamai		Cartagra: Disease of Moon Confusion
Casshern Sins	Casshern Sins	
Casshern: Robot Hunter	Casshan: Robot Hunter	
Castle Fantasia: Seima Taisen		
Cat Shit One		Cat Shit One: The Animated Series
Cat&#039;s Eye		Cats Eye
Cat&#039;s Eye Love		Minna no Uta
Catblue: Dynamite	Catblue Dynamite	
Catch: Tsugi no Natsu ga Kuru You ni		Minna no Uta
Catchy-kun no Nice Catch!		
Catman	Catman	Catman Series 1
Catman Series II		Catman
Catman Series III		Catman 3rd Season
Catman Specials		
Cele Kano		
Celebration and Chorale	celebration and chorale	Shukuten no Chorale
Cell no Koi		Minna no Uta
Cello Hiki no Gauche		Gauche the Cellist
Cello Hiki no Gauche (1982)	Gauche the Cellist	Serohiki no Goshu
Cello Hiki no Gauche (OVA)		
Cencoroll		Cencoroll
Cencoroll 2		
Centaur no Nayami	A Centaur&#039;s Life	Centaur&#039;s Worries
Cerberus		Soutaisei Riron
