D+vine Luv		Dvine [Luv]
D-1 Devastator		
D-Fang!: Water!!		D-Frag! OAD
D-Frag!	D-Frag!	D-Frag!
D-Spray		
D.C. I&II P.S.P. Re-Animated		Da Capo: D.C. I & II P.S.P. OVA
D.C.: Da Capo	D.C.~Da Capo~	
D.C.II S.S.: Da Capo II Second Season		D.C.II S.S.: Da Capo II 2nd Season
D.C.II: Da Capo II		
D.C.III: Da Capo III		Da Capo 3
D.C.III: Da Capo III Special		
D.C.S.S: Da Capo Second Season	D.C.S.S. ~Da Capo Second Season~	D.C.S.G.
D.C.S.S: Da Capo Second Season Omake	D.C.S.S: Da Capo Second Season Omake	D.C.S.G. Omake
D.C.if: Da Capo if		Da Capo If
D.Gray-man	D.Gray-man	D. Gray-man
D.Gray-man Hallow	D.Gray-man HALLOW	
D.I.C.E.		DICE
D.N.Angel	D.N.Angel	DN Angel
D4 Princess		Drill for Princess
DC Super Heroes vs Taka no Tsume Dan		DC Super Heroes vs 鷹の爪団
DC Super Heroes vs Taka no Tsume Dan Promotion Eizou		
DD Hokuto no Ken	DD Fist of the North Star	
DD Hokuto no Ken (2013)	DD Fist of the North Star	
DD Hokuto no Ken 2 Ichigo Aji+	DD Fist of the North Star 2: Strawberry Flavor Plus	Hokuto no Ken: Ichigo Aji
DJ Nobunaga	DJ Nobunaga	DJN
DNA Hunter	DNA Hunter	
DNA Sights 999.9		Kasei Ryodan Danasaito 999.9
DNA²	DNA²	DNA Squared
DNA² OVA		Dokokade Nakushita Aitsuno Aitsu (1995)
DPR Special Movie		Dual-frequency Precipitation Radar Special Movie
DRAMAtical Murder	DRAMAtical Murder	DMMd
DRAMAtical Murder OVA: Data_xx_Transitory		
DT Eightron	DT Eightron	
Da Hu Fa		Dahufa
Da Nao Tiangong	Uproar in Heaven	The Monkey King
Da Shi Jie	Have a Nice Day	Da Shijie
Da Wei Bei Ken Zhi Daomei Tegong Xiong	Backkom Bear: Agent 008	Bernard Bear
Da Yu Hai Tang	Big Fish & Begonia	Da Hai
Da Zuiba Dudu		
Daa! Daa! Daa!		Da!Da!Da!
Dae Jang Geum: Jang Geum&#039;s Dream		Shoujo Changumu no Yume
Dae Jang Geum: Jang Geum&#039;s Dream 2		Shoujo Changumu no Yume
Dagashi Kashi	Dagashi Kashi	Dagashikashi
Dagashi Kashi 2	Dagashi Kashi 2	Dagashikashi 2
Dagram vs. Round-Facer		
Dai Mahou Touge	Magical Witch Punie-Chan	Daimahou Touge
Dai Mahou Touge Omake		
Dai Yamato Zero-gou	Great Yamato No. 0	Big Yamato
Dai-chan	 Daisuki.	大ちゃん
Daiakuji: The Xena Buster	Daiakuji -The Xena Buster-	
Daiakuji: The Xena Buster Specials		
Daicon Opening Animations		Daicon
Daikuu Maryuu Gaiking	Dino Mech Gaiking	
Daikyouryuu Jidai		Age of the Great Dinosaurs
Daimajuu Gekitou: Hagane no Oni		Demon of Steel: Battle of the Great Demon Beasts
Dainiji Ura Nyuugakushiken The Animation		
Daisetsusan no Yuusha Kibaou	King Fang	Oyuki Yama no Yuusha Haou
Daishikkin Helena	Elfen Laid	
Daishizen no Majuu: Bagi	Baggy	Daishizen no Majyu Bagi
