F		Formula-1 - Engines On The Track
F-Zero: Falcon Densetsu	F-Zero: GP Legend	F-Zero: The Legend of Falcon
FLCL	FLCL	Fooly Cooly
FLCL Alternative		Fooly Cooly Alternative
FLCL Progressive		Fooly Cooly Progressive
Fabre-sensei wa Meitantei	Dr. Fabre is a Detective	Inspector Fabre
Fafa Movie		
Fairy Forest Remi-chan	Fairy Forest Remi-chan	Fairy in the Forest
Fairy Tail	Fairy Tail	FAIRY TAIL
Fairy Tail (2014)	Fairy Tail Series 2	Fairy Tail Season 2
Fairy Tail (2018)		Fairy Tail Season 3
Fairy Tail Movie 1: Houou no Miko		Gekijouban Fairy Tail: Houou no Miko
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa		Fairy Tail: Houou no Miko Prologue
Fairy Tail Movie 2: Dragon Cry		Gekijouban Fairy Tail: Dragon Cry
Fairy Tail OVA		Fairy Tail: Youkoso Fairy Hills!
Fairy Tail OVA (2016)		Fairies&#039; Penalty Game
Fairy Tail x Rave		
Fake		
Fake Doll		
Fake Style		Fake Type.: Fake Style
Fake Style II		Fake Type.: Fake Style 2
Famiresu Senshi Purin	Sex Warrior Pudding	
Fantascope: Tylostoma		Fantascope Tylostoma
Fantasia	Girl from Phantasia	
Fantasista Doll	Fantasista Doll	
Fantasista Stella		
Fantastic Cell		
Fantastic Children	Fantastic Children	
Fantastic Children Special		Fantastic Children Extended Ending
Fantasy		
Fashion		
Fashion no Hajimari	Beginning of fashion	
Fastening Days		
Fatal Fury 2: The New Battle	Fatal Fury 2: The New Battle	Battle Fighters Garou Densetsu 2
Fatal Fury: Legend of the Hungry Wolf	Fatal Fury: Legend of the Hungry Wolf	Battle Fighters Garou Densetsu
Fatal Fury: The Motion Picture	Fatal Fury: The Motion Picture	Garou Densetsu: The Motion Picture
Fate/Apocrypha		
Fate/Apocrypha: Seihai Daisen Kaimaku-hen		Fate/Apocrypha Episode 12.5
Fate/Apocrypha: Seihai Taisen Douran-hen		Fate/Apocrypha Episode 19.5
Fate/Extra: Last Encore	Fate/Extra: Last Encore	
Fate/Extra: Last Encore - Irusterias Tendouron		Fate/Extra: Last Encore - Irusterias Ptolemaic Theory
Fate/Grand Order CMs	Fate/Grand Order	
Fate/Grand Order: First Order	Fate/Grand Order -First Order-	
Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen		
Fate/Grand Order: Moonlight/Lostroom		
Fate/Prototype		
Fate/Zero	Fate/Zero	
Fate/Zero 2nd Season	Fate/Zero Season 2	Fate/Zero Second Season
Fate/Zero Cafe		Fate/Zero Café
Fate/Zero Remix		Fate/Zero Remix I
Fate/Zero: Onegai! Einzbern Soudanshitsu	Fate/Zero: Please! Einzbern Counseling Room	Fate/Zero Specials
Fate/kaleid liner Prisma☆Illya	Fate/Kaleid Liner Prisma Illya	
Fate/kaleid liner Prisma☆Illya 2wei Herz!	Fate/Kaleid Liner Prisma Illya 2Wei Herz!	Prisma Illya 2wei! Herz
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials	Fate/Kaleid Liner Prisma Illya 2Wei Herz! Shorts	
Fate/kaleid liner Prisma☆Illya 2wei!	Fate/Kaleid Liner Prisma Illya 2Wei!	Prisma Illya 2wei!
Fate/kaleid liner Prisma☆Illya 2wei! OVA		Prisma Illya 2wei! OVA
Fate/kaleid liner Prisma☆Illya 2wei! Specials	Fate/Kaleid Liner Prisma Illya 2Wei! Shorts	Prisma Illya 2wei!: First Bra - Illya-hen
Fate/kaleid liner Prisma☆Illya 3rei!!		Prisma Illya 3rei!!
Fate/kaleid liner Prisma☆Illya 3rei!! Specials		Prisma Illya 3rei!! Specials
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai		Fate/kaleid liner Prisma☆Illya Movie: Oath Under Snow
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya		Fate/kaleid liner Prisma☆Illya Movie: Oath Under Snow Special
Fate/kaleid liner Prisma☆Illya Specials		
Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!	Fate/Kaleid Liner Prisma Illya: Dance at the Sports Festival!	Fate/kaleid liner Prisma☆Illya OVA
Fate/stay night	Fate/stay night	Fate - Stay Night
Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower	Fate/stay night: Heaven&#039;s Feel - I. Presage Flower	
Fate/stay night Movie: Heaven&#039;s Feel - II. Lost Butterfly	Fate/stay night: Heaven&#039;s Feel - II. Lost Butterfly	Fate/stay night Movie: Heaven&#039;s Feel 2
Fate/stay night Movie: Heaven&#039;s Feel 3		
Fate/stay night Movie: Unlimited Blade Works	Fate/stay night: Unlimited Blade Works	Gekijouban Fate/Stay Night: Unlimited Blade Works
Fate/stay night TV Reproduction		Fate/stay night Recap
Fate/stay night: Unlimited Blade Works	Fate/stay night [Unlimited Blade Works]	Fate/stay night (2014)
Fate/stay night: Unlimited Blade Works - Prologue	Fate/stay night: Unlimited Blade Works - Prologue	Fate/stay night (2014) Episode 00
Fate/stay night: Unlimited Blade Works 2nd Season	Fate/stay night [Unlimited Blade Works] Season 2	Fate/stay night (2015)
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day		Fate/stay night [Unlimited Blade Works] Season 2 - Sunny Day
Fault!!		
Fault!! Service: Aratanaru Rival		
Fei Ren Zai		Shenme Gui
Felix no Meitantei	Detective Felix in Trouble	
Felix x Kamiusagi Rope		Ryuugakusei tte Maji ssuka!?
Fella Hame Lips		
Fella Pure: Mitarashi-san Chi no Jijou The Animation		Fela Pure: Mitarashi-san Chi no Jijou - The Animation
Fen Qing	Burn This Love	
Feng Ji Yun Nu		Storm Rider: Wild Winds
Feng Ling Yu Xiu	Spirit Wind Elegance	
Feng Shu Zhan Jing	The Configurators	锋速战警
Feng Shu Zhan Jing 2		The Configurators 2
Feng Wei Ying Xiong	Beyond the Worlds	Crazy Heroes
Feng Yun Jue	Storm Rider: Clash of the Evils	Wind and Cloud Duel
Fengshen Bang	The Story of Chinese Gods	Bruce Lee in Animation: Chinese Gods
Fetikano!		Fechikano!
Fetish Doll		Scrap Diary 3
Fettu to Ccine to Gummi Seijin		Bourbon: Fettuccine Gummi
Field ni Soyogu Kaze	The Winds of Victory	
Fight Da!! Pyuta		Fight
Fight Ippatsu! Juuden-chan!!	Juden Chan Recharged	
Fight Ippatsu! Juuden-chan!! OVA		Fight Ippatsu! Juuden-chan!! OAD
Fight Ippatsu! Juuden-chan!! Specials		
Fight Tension☆Depart		
Fight!!		Fight!! Spirit of the Sword
Fighting Foodons		Kakutou Ryouri Densetsu Bistro Recipe
Fighting of Ecstasy		
Figure 17: Tsubasa & Hikaru		Figure 17 - Tsubasa and Hikaru
Fin-tan		
Final Approach		
Final Fantasy	Legend of the Crystals: Final Fantasy	
Final Fantasy VII: Advent Children		Final Fantasy 7: Advent Children
Final Fantasy VII: Advent Children - Venice Film Festival Footage	Final Fantasy VII: Advent Children - Venice Film Festival Footage	Final Fantasy 7: Advent Children Special Edition
Final Fantasy VII: Advent Children Complete		Final Fantasy 7: Advent Children Complete
Final Fantasy VII: Last Order	Final Fantasy VII: Last Order	Last Order Final Fantasy VII
Final Fantasy VII: On the Way to a Smile - Episode: Denzel		
Final Fantasy: The Spirits Within	Final Fantasy: The Spirits Within	Final Fantasy
Final Fantasy: Unlimited		
Finder Series	You&#039;re My Love Prize	Finder no Hyouteki
Fire Bird	Fire Bird	Fire Bird (hinotori full version)
Fire Emblem	Fire Emblem	
Fire Tripper	Fire Tripper	Rumic World 1
Fireball	Fireball	
Fireball Charming		
Fireball Humorous		
Fireball Special		Making of Fireball
Firestorm		
First Kiss Monogatari	First Kiss Story	
First Love		
First Rabbit		
First Squad		Ligalize - First Squad
First Squad: The Moment of Truth	First Squad: The Moment of Truth	Pervyi Otryad
Five Card	Five Card	5 Card
Five Fire Fish		
Five Star Stories	The Five Star Stories	Five Star Monogatari
Flag		
Flag Director&#039;s Edition: Issenman no Kufura no Kiroku		
Flamingo Waltz		Minna no Uta
Flanders no Inu	 Boku no Patrasche	フランダースの犬　～ぼくのパトラッシュ～
Flanders no Inu	A Dog of Flanders	Sekai Meisaku Gekijou
Flanders no Inu (Movie)	The Dog of Flanders	
Flanders no Inu Specials		Sekai Meisaku Gekijou Kanketsu Ban: Flanders no Inu
FlashBack		
Flashback Game		Flash Back Game
Flicker Love No.1		
Flip Flappers	Flip Flappers	
Floating Material		
Flowering Heart	Flowering Heart	
Flowering Heart 2	Flowering Heart 2	
Flutter of Birds II: Tenshi-tachi no Tsubasa		Flutter of Birds 2
Flutter of Birds: Tori-tachi no Habataki	Virgin Touch	Flutter of Birds
Fluximation		
Fly	 Space Battleship Geobukseon	날아라 우주전함 거북선
Fly	Fly	
Flying Babies		
Flying Witch	Flying Witch	
Flying Witch Petit		Flying Witch Puchi
Flying Witch Petit Special		Flying Witch Puchi Special
Fojiao Donghua: Dashi Zhi Pusa Nianfo Yuantong Zhang	Maha-Stamaprapta Bodhisattva&#039;s Preachment on Being Mindful of the Buddha	Buddhist Animation: Other Bodhisattva Buddha Tact Chapter
Follow Me		Muse: Follow Me (Alternative Video)
Force Live		
Force of Will the Movie		
Forest Fairy Five	Forest Fairy Five	Mori no Yousei: Kinoko no Musume
Forestry		
Form of Stress		
Forsaken		Dream Theater: Forsaken
Fortissimo Bell		Irodorimidori
Fortune Arterial: Akai Yakusoku		
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho		Fortune Arterial: Akai Yakusoku OVA
Fortune Dogs		
Fortune Quest L	Fortune Quest	
Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi		Fortune Quest OVA
Forza! Hidemaru		Go for It! Hidemaru
Four Seasons: Fuuka to Nanami	Four Seasons: Fuuka and Nanami	Four Seasons: Fuuka and Nanami -Master of Torque- Spin-off Episode
Fox Wood Monogatari	Fox Wood Tales	FoxWood Monogatari
Fr/day Night		Friday Night
Fractale	Fractale	
Frame Arms Girl		
Frame Arms Girl 2nd Season		
Frame Arms: A Violent Struggle		
Francesca	Hungry Zombie Francesca	Francesca: Girls Be Ambitious
Freaky Highschool	Freaky Highschool	
Free!	Free! - Iwatobi Swim Club	フリー！
Free! Movie 1: Timeless Medley - Kizuna		
Free! Movie 1: Timeless Medley - Kizuna: Character Butai Aisatsu		
Free! Movie 2: Timeless Medley - Yakusoku		
Free! Movie 2: Timeless Medley - Yakusoku: Character Butai Aisatsu		
Free!: Dive to the Future		Free! 3rd Season
Free!: Eternal Summer	Free! - Eternal Summer	Free! - Iwatobi Swim Club 2
Free!: Eternal Summer – Kindan no All Hard!		Free!: Eternal Summer Special
Free!: FrFr - Short Movie		Free! Specials
Free!: Take Your Marks	Free! -Take Your Marks-	
Free!: Take Your Marks: Character Butai Aisatsu		
Freedom	Freedom	
Freedom Previsited		
Freely Tomorrow		Hatsune Miku: Freely Tomorrow
Freezing	Freezing	
Freezing Specials		Hajikechau! Dokidoki Trouble Freezing
Freezing Vibration	Freezing Vibration	Freezing Season 2
Freezing Vibration Specials		
Fresh Precure!		Fresh Pretty Cure
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?		Fresh Pretty Cure! Movie: The Kingdom of Toys has Lots of Secrets!?
Friends: Mononoke Shima no Naki	Friends: Naki of Monster Island	
From Osaka with Cheer!		
Front Innocent: Mou Hitotsu no Lady Innocent	Another Lady Innocent	
Fruits 5 Shimai		Minna no Uta
Fruits Basket	Fruits Basket	Furuba
Fruits Version	Fruits Version	Traveling Fantasies
Fruity Samurai		
Frypan Jiisan		Frying Pan Jii-san
Fudanshi Koukou Seikatsu	The Highschool Life of a Fudanshi	
Fudanshi Koukou Seikatsu: Sports no Aki	 Bonnou no Aki	腐男子高校生活　スポーツの秋煩悩の秋
Fue	A Whistle	
Fuichin-san		
Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater		
Fujiko Fujio A no Mumako		
Fujilog		
Fujilog (ONA)		OSAM 1-gou
Fujilog 2nd Season		Fuji Log Dai Ni Season
Fujimi 2-choume Koukyougakudan		Fujimi 2-choume Kokyogakudan
Fujinkoron-senpai		Fujinkoron-sempai
Fujoshi no Hinkaku		
Fujun Isei Kouyuu: Taisetsu na Kimi e		Fujun Isei Kouyuu: Taisetsu na Kimi he
Fukashigi no Kazoekata	The Art of 10^64 -Understanding Vastness-	Mysterious Counting
Fuki to Hiyoko		Minna no Uta
Fukigen na Mononokean	The Morose Mononokean	
Fuku-chan		
Fuku-chan no Kishuu		Fuku-chan&#039;s Surprise
Fuku-chan no Sensuikan		Fuku-chan&#039;s Submarine
Fuku-chan no Zousan Butai		Fuku-chan&#039;s Troops
Fukubiki! Triangle: Futaba wa Atafuta ♥		
Fukubiki! Triangle: Miharu After		Lucky Draw Triangle ~Miharu After~
Fukumenkei Noise	Anonymous Noise	
Fukusuke		
Fukuyama Gekijou: Natsu no Himitsu		Fukuyama Treater: Summer Show
Full Metal Panic!	Full Metal Panic!	FMP
Full Metal Panic! Invisible Victory		Full Metal Panic! IV
Full Metal Panic! The Second Raid	Full Metal Panic! The Second Raid	Full Metal Panic! TSR
Full Metal Panic! The Second Raid Episode 000		Full Metal Panic! The Second Raid Pre-festival: Night of the Light Novel
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi		The Commanding Officer&#039;s Rather Quiet Day
Full Metal Panic? Fumoffu	Full Metal Panic? Fumoffu	Full Metal Panic Fumoffu
Full Moon Party		
Full Moon wo Sagashite	Searching for the Full Moon	Full Moon o Sagashite
Full Moon wo Sagashite: Kawaii Kawaii Daibouken		Full Moon wo Sagashite: Cute Cute Big Adventure
Fullmetal Alchemist	Fullmetal Alchemist	Hagane no Renkinjutsushi
Fullmetal Alchemist: Brotherhood	Fullmetal Alchemist: Brotherhood	Hagane no Renkinjutsushi: Fullmetal Alchemist
Fullmetal Alchemist: Brotherhood - 4-Koma Theater	Fullmetal Alchemist: Brotherhood: 4-Koma Theater	Hagane no Renkinjutsushi: 4-Koma Theater
Fullmetal Alchemist: Brotherhood Specials	Fullmetal Alchemist: Brotherhood OVA Collection	Moumoku no Renkinjutsushi
Fullmetal Alchemist: Premium Collection	Fullmetal Alchemist: Premium OVA Collection	State Alchemists vs Seven Homunculi
Fullmetal Alchemist: Reflections		FMA: Reflections
Fullmetal Alchemist: The Conqueror of Shamballa	Fullmetal Alchemist: The Movie - Conqueror of Shamballa	Gekijyouban Hagane no Renkinjutsushi - Shanbara wo Yuku Mono
Fullmetal Alchemist: The Sacred Star of Milos	Fullmetal Alchemist: The Sacred Star of Milos	Fullmetal Alchemist: Milos no Seinaru Hoshi
Fullmetal Alchemist: The Sacred Star of Milos Specials		Fullmetal Alchemist: Milos no Seinaru Hoshi Specials
Fumikiri Jikan	Crossing Time	
Fumiko no Kokuhaku	Fumiko&#039;s Confession	
Fumoon	Fumoon	24 Hour TV Specials
FunaQ: Funassyi to Soutai-kun		Funassyi to Q
Funassyi no Funafunafuna Biyori		Funassyi&#039;s Aimless Days
Funassyi to Yukaina Kyoudai		Funassyi&#039;s Amusing Brother
Fune wo Amu	The Great Passage	
Funi Funi Marshmallow	Funi Funi Marshmallow	
Funny Pets		
Funny Pets 2nd Season		
Fure! Fure! Daijoubu!		Minna no Uta
Furidashita Ame		Doutoku Meisaku Series
Furifure 2		
Furifure The Animation		
Furiko	Pendulum	Exogenesis: Symphony Part 3 (Redemption)
Furiten-kun		
Furiten-kun (1990)		
Furudera no Obake-soudou	Taro&#039;s Monster Hunt	Furudera no Obake-sodo
Furueru Kuchibiru		Fuzzy Lips 1
Furueru Kuchibiru Episode 0		Fuzzy Lips 0
Furusato Japan	Japan	ふるさとJAPAN
Furusato Meguri: Nippon no Mukashibanashi		Hometown Visiting: Folktales from Japan
Furusato Saisei: Nippon no Mukashibanashi	Folktales from Japan	Hometown Rebuilding: Folktales from Japan
Furusato no Nai Aki		Minna no Uta
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation		
Fuse: Teppou Musume no Torimonochou	Fusé: Memoirs of a Huntress	FUSE: Memoirs of the Hunter Girl
Fusha no Sha	To Shoot Without Shooting	To Shoot Without Shooting
Fushigi Mahou Fun Fun Pharmacy		Mysterious Magic Fun Fun Pharmacy
Fushigi Naido		Wonderland
Fushigi Sekai Atagoul Monogatari		Mysterious World Atagoul Story
Fushigi Yuugi	Mysterious Play	Fushigi Yugi
Fushigi Yuugi OVA	Mysterious Play OVA	Fushigi Yugi OVA 1
Fushigi Yuugi OVA 2	Mysterious Play OVA 2	Fushigi Yugi OVA 2
Fushigi Yuugi Special: Nakago Shikkari Shinasai!	Fushigi Yuugi Special: Watase Yuu Selection	
Fushigi Yuugi: Eikouden	Mysterious Play: Eikoden	Fushigi Yuugi OVA 3
