I Love Picnic		Backkom
I Love Sky		Backkom
I My Me! Strawberry Eggs	I My Me! Strawberry Eggs	Ai Mai Mi ! Strawberry Egg
I Was King		ONE OK ROCK
I&#039;&#039;s	I&#039;&#039;s	From I&#039;&#039;s
I&#039;&#039;s Pure	I&#039;&#039;s Pure	I&#039;&#039;s OVA
I&#039;&#039;s Pure Bonus	I&#039;&#039;s Pure Bonus	I&#039;&#039;s OVA Bonus
I&#039;ll/CKBC	I&#039;ll/CKBC	I&#039;ll / Crazy KOUZU Basketball Club
I&#039;m Coming	I&#039;m Coming	Pa&#039;s Lam System: I&#039;m Coming
I&#039;m Here with You		Minna no Uta
I: Wish You Were Here	Zaion: I Wish You Were Here	Anata ga Koko ni Itehoshii
ID-0	ID-0	
IDOLiSH7	IDOLiSH7	Idolish Seven
IDOLiSH7 Tokubetsu Bangumi: Kimi to Furikaeranaito!		Idolish Seven Recap
IDOLiSH7 Vibrato		Idolish Seven
IGPX: Immortal Grand Prix		
IGPX: Immortal Grand Prix (2005)	IGPX: Immortal Grand Prix	
IGPX: Immortal Grand Prix (2005) 2nd Season	IGPX: Immortal Grand Prix	
IRoid: Koi no Yuukou Frontier		IR-oid
IS: Infinite Stratos	Infinite Stratos	IS
IS: Infinite Stratos 2	Infinite Stratos 2	
IS: Infinite Stratos 2 - Hitonatsu no Omoide		IS: Infinite Stratos 2 Long Vacation Edition - The Memories of One Summer
IS: Infinite Stratos 2 - Infinite Wedding		
IS: Infinite Stratos 2 - World Purge-hen		
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou		IS: Infinite Stratos Encore - Koi ni Kogareru Sextet
Ibara no Ou	King of Thorn	Ibara no Oh
Ibara-Hime matawa Nemuri-Hime	Briar-Rose or The Sleeping Beauty	Sleeping Beauty
Iblard Jikan		Iblard Time
Ice		ICE: The Last Generation
Ice Fist	Ice Fist	Vampillia
Ice Movie		Ice Gekijouban
Ichi-gan Kuni		
Ichiban Chikaku ni		
Ichiban Ushiro no Daimaou	Demon King Daimao	Ichiban Ushiro no Dai Mao
Ichiban Ushiro no Daimaou Specials		Mo Hitotsu Omake no Daimaou
Ichiendama no Tabigarasu		Minna no Uta
Ichigatsu ni wa Christmas	Christmas in January	
Ichigeki Sacchuu!! Hoihoi-san		Hoi Hoi-san
Ichigeki Sacchuu!! Hoihoi-san: Legacy		
Ichigo 100%	Strawberry 100%	Ichigo 100%
Ichigo 100% OVA	Ichigo 100% Original DVD Animation	
Ichigo 100% Special 2	Strawberry 100%	
Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e		Ichigo 100%: Jump Festa 2004 Special
Ichigo Chocola Flavor	Strawberry Chocolate Flavor	Ichigo Chocolat Flavor
Ichigo Ichie: Kimi no Kotoba		
Ichigo Ichie: Koibana Tomobana		
Ichigo Mashimaro	Strawberry Marshmallow	
Ichigo Mashimaro Encore	Strawberry Marshmallow Encore	Ichigo Mashimaro OVA 2
Ichigo Mashimaro Episode 0		Strawberry Marshmallow Prologue
Ichigo Mashimaro OVA	Strawberry Marshmallow OVA	
Ichimai no Etegami		
Ichinen Buri no The Animation		
Ichinen Ikkumi		1 Nen 1 Kumi
Ichirin-sha		Ichirinsha
Iczer-Girl Iczelion	Iczelion	Sen-shoujo Iczelion
Idaten Jump	Idaten Jump	
