L&#039;Œil du Cyclone		
L/R: Licensed by Royal	Licensed by Royalty	
L/R: Licensed by Royal Special	Licensed by Royalty	Licensed by Royalty Special
La Primavera		Fake Type.
La Rose de Versailles		Versailles no Bara
La Seine no Hoshi		Star of the Seine
La Vilaine LuLu		Otenba Ruru
Ladies versus Butlers!	Ladies versus Butlers!	Ladies vs. Butlers!
Ladies versus Butlers! Specials		Ladies vs. Butlers!
Ladies versus Butlers! Tokuten Disc Music Clip		Ladies vs. Butlers!
Lady Georgie		Joaninha
Lady Jewelpet		
Lady Lady!!		
Lady Lady!! (1988)		
Ladyspo		Lady Sports
Lala-chan Santa no Fantasy Christmas		
Lalala Lala-chan		
Lalala Lala-chan Mini		Lalala Lala-chan Mini (wo Tegami Video)
Lalala Lala-chan Season 4		
Lalala Lala-chan ★Uchuu ni Muchuu★		
Lalala Lala-chan: Patapata Daisensou		
Lamune		
Lan Mao	Blue Cat	
Lan Mo De Hua	Lan Mo&#039;s Flower	
Lance N&#039; Masques	Lance N&#039; Masques	Lance and Masks
Landlock		
Landmark		
Landreaall		
Landscape		Land Scape
Lao Fu Zi Fan Dou Zhen Tan	Master Q: Incredible Pet Detective	Old Master Cute
Lao Fu Zi Shui Hu Chuan		Old Master Q: Water Tiger
Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi	Old Master Q and Little Ocean Tiger	Old Master Cute
Lapis Re:LiGHTs		
Larva		
Larva 2nd Season		Larva: House
Larva 3rd Season		Larva: New York
Last Exile	Last Exile	
Last Exile: Doyou no Asa		Last Exile: Saturday Morning
Last Exile: Ginyoku no Fam	Last Exile: Fam	ラストエグザイル-銀翼のファム-
Last Exile: Ginyoku no Fam Movie - Over the Wishes	Last Exile: Fam	劇場版 LASTEXILE 銀翼のファム Over the Wishes
Last Exile: Ginyoku no Fam Recaps	Last Exile: Fam	ラストエグザイル-銀翼のファム-
Last Orders		Murphy&#039;s Irish Stout: Last Orders
Last Period: Owarinaki Rasen no Monogatari		
Last Waltz: Hakudaku Mamire no Natsu Gasshuku		
LayereD Stories Zero	LayereD Stories 0	Project LayereD
Layton Kyouju to Eien no Utahime	Professor Layton and the Eternal Diva	Professor Layton and the Eternal Songstress
Layton Mystery Tanteisha: Katri no Nazotoki File		
Le Chevalier D&#039;Eon		
Learn to Love		
Leatherman	Leatherman	Sexbomb
Legend of Basara		
Legend of Basara: Shinbashi Theater		
Legend of Crystania OVA	Legend of Crystania	Legend of Crystania: The Chaos Ring
Legend of Duo		
