M Ogui: Last Order		M-ogui: Last Order
M.E.M.: Yogosareta Junketsu	M.E.M.: Lost Virginity	
M3: Sono Kuroki Hagane		M3: Sono Kuroki Tetsu
M3: Sono Kuroki Hagane Recap		
MAFF x Chobitto Zukan		
MAPS: Densetsu no Samayoeru Seijin-tachi		Maps: Legendary Space Wanderers
MD Geist II: Death Force		MD Geist 2
MEMORiES MELODiES		IDOLiSH7: Memories Melodies
MILPOM★		
MILPOM★ Pilot		
MM!	MM!	MM! Group
MM! Specials	MM! Hidden Camera Shorts	MM! Hidden Cam
MONSTER GENERATiON		IDOLiSH7: Monster Generation
MTV Ident: Horny		
MTV Japan Station ID		MTV Japan Station ID 1
Ma Shen	Mahjong King	Mahjong God
Ma ga Ochiru Yoru	The Night When Evil Falls	
MaMa		Mama Mia!
Maabou no Daikyousou	Mabo&#039;s Big Race	Mabo no Daikyoso
Maabou no Kinoshita Toukichirou	Mabo as Tokichiro Kinoshita	Mabo no Kinoshita Tokichiro
Maabou no Shounen Koukuu Tsuwamono		
Mabeob Chunjamun: Daemawangui Buhwaleul Magala		Magic Chunjamun
Mabeobsaui Adeul Koli		Wizard
Maboroshi Mabo-chan		Phantom Mabo-chan
Maburaho	Maburaho	
Mac the Movie		
Macademi Wasshoi!		The Magician&#039;s Academy
Mach Girl		
Mach GoGoGo	Speed Racer	Mach Go Go Go
Mach GoGoGo (1997)	Speed Racer X	Mach Go Go Go
Machi Gurumi no Wana: Hakudaku ni Mamireta Shitai		
Machi Ichiban no Kechinbou	The Stingiest Man in Town	A Christmas Carol
Machibouke		Minna no Uta
Machibouke (2017)		Waiting in the Rain
Machikado no Märchen		Machikado no Meruhen
Machine Hayabusa		Dash Machine Hayabusa
Machine Robo: Butchigiri Battle Hackers		Machine Robo: The Running Battlehackers
Machine Robo: Cronos no Dai Gyakushuu	Machine Robo: Revenge of Cronos	Machine Robo: Revenge of Chronos
Machine Robo: Leina	 The Legend of Wolf Blade	レイナ剣狼伝説
Machine-Doll wa Kizutsukanai	Unbreakable Machine-Doll	Machine Girl wa Kizutsukanai
Machine-Doll wa Kizutsukanai Specials	Unbreakable Machine-Doll Special	Machine Girl wa Kizutsukanai Special
Macross	Macross	Choujikuu Yousai Macross
Macross (2018)		
Macross 25th Anniversary: All That VF Macross F Version		Macross 25th Anniversary Special Eizou: All That VF Macross F Version
Macross 25th Anniversary: All That VF Macross Zero Version		Macross 25th Anniversary Special Eizou: All That VF Macross Zero Version
Macross 7		M7
Macross 7 Encore		
Macross 7 Movie: Ginga ga Ore wo Yondeiru!	Macross 7: The Galaxy is Calling Me	Macross 7: The Movie
Macross 7 Plus		Macross 7 Special
Macross Dynamite 7		Macross 7 Dynamite
Macross F	Macross Frontier	Macross F
Macross F Movie 1: Itsuwari no Utahime	Macross Frontier: The False Songstress	Macross Frontier the Movie
Macross F Movie 2: Sayonara no Tsubasa		Macross Frontier the Movie 2
Macross F Music Clip Shuu: Nyankuri		Macross Frontier Music Clip Shuu: Nyankuri
Macross F: Choujikuu Gekijou		Macross Frontier: Choujikuu Gekijou
Macross F: Close Encounter - Deculture Edition		Macross Frontier: Close Encounter - Deculture Edition
Macross FB7: Ore no Uta wo Kike!		Macross FB7: Ginga Rukon
Macross Flash Back 2012		Choujikuu Yousai Macross - Flash Back 2012
Macross Fufonfia		
Macross Fufonfia Specials		
Macross II: Lovers Again		Choujikuu Yousai Macross II - Lovers Again
Macross Plus		
Macross Plus Movie Edition		
Macross XX		
Macross Zero	Macross Zero	
Macross Δ	Macross Delta	
Macross Δ Movie: Gekijou no Walküre		
Macross Δ: Delta Shougekijou		
Macross: Do You Remember Love?		Clash of the Bionoids
Madan no Ou to Vanadis	Lord Marksman and Vanadis	Madan no Ou to Senki
Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu		
Madang-Eul Naon Amtalg	Daisy: A Hen into the Wild	Leafie
Made in Abyss	Made in Abyss	
Made in Abyss 2nd Season		
Made in Abyss Movie 1: Tabidachi no Yoake		Made in Abyss Movie 1: Journey&#039;s Dawn
Made in Abyss Movie 2: Hourou suru Tasogare		Made in Abyss Movie 2: Wandering Twilight
Made in Japan	Made in Japan	
Madlax		
Mado		The Window
Mado (Music)		Minna no Uta
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!		Madobe Nanami&#039;s Homemade Windows 7 PC Cheerleading Commercial!!
Madonna		
Madonna (Movie)		
Madonna: Kanjuku Body Collection		
Madou King Granzort	Mado King Granzort	Magic King
Madou King Granzort: Bouken-hen		Madouou Grandzort OVA 2
Madou King Granzort: Nonstop Rabi		Madou King Granzort Special
Madou King Granzort: Saigo no Magical Taisen		Madouou Grandzort OVA
Mad★Bull 34	Mad Bull 34	
Maegami Tarou		
Maemilggot	 Unsu Joeun Nal	The Road Called Life
Maetel Legend		
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou		Maeterlinck&#039;s Blue Bird
Mafukiden: Pandarian	Pandalian	Madou Kiden Pandalian
Magatsu Wahrheit		
Magi: Sinbad no Bouken		Magi: Adventure of Sinbad OVA
Magi: Sinbad no Bouken (TV)	Magi: Adventure of Sinbad	
Magi: The Kingdom of Magic	Magi: The Kingdom of Magic	Magi: The Labyrinth of Magic 2
Magi: The Labyrinth of Magic	Magi: The Labyrinth of Magic	Magi Season 1
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden	Puella Magi Madoka Magica Side Story: Magia Record	
Magic Kaito		Kaito Kid
Magic Kaito 1412		Magic Kaito 2014
Magic Knight Rayearth	Magic Knight Rayearth	Mahou Kishi Rayearth
Magic Knight Rayearth II	Magic Knight Rayearth II	Mahou Kishi Rayearth II
Magic Tree House		
Magic-Kyun! Renaissance	Magic-Kyun! Renaissance	Maji-Kyun! Renaissance
Magical Canan	Magical Kanan	Mahou Canan
Magical Hat		
Magical Maho		
Magical Moe	Magical Moe	マジカルもえ
Magical Music Train		
Magical Nyan Nyan Taruto	Magical Meow Meow Taruto	Mahou Shoujo Neko Taruto
Magical Puuta no Hi Asobi wa Abunai yo		
Magical Suite Prism Nana		
Magical Twilight	Magical Twilight	Majikaru
Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation		
Magical★Taruruuto-kun		Magical Taruruto-kun
Magical★Taruruuto-kun Movie		Magical Taruruuto-kun Gekijouban
Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen		Magical Taluluto 2 Magic Battle of the Friendship
Magical★Taruruuto-kun: Sukisuki Takoyaki!		Magical Taruruto-kun - Good-Good Hot Grilled Octopus
Magical☆Star Kanon 100%	Magical Star Kanon 100%!	Kami nomi zo Shiru Sekai: Kanon OVA
Magikano		
Magma Taishi	Ambassador Magma	Maguma Taishi
Magnerobo Ga-Keen		Magne Robo Gakeen
Magnerobo Ga-Keen Recap		
Mahjong Hishouden: Naki no Ryuu		Weeping Dragon
MahoYome		The Ancient Magus&#039; Bride
MahoYome Episode 0		The Ancient Magus&#039; Bride
Mahoraba: Heartful days		
Mahoromatic 2	Mahoromatic ~Something More Beautiful~	Mahoromatic: Motto Utsukushii Mono
Mahoromatic 2 End Year Special		Mahoromatic: Motto Utsukushii Mono - Year End
Mahoromatic End Year Special		Mahoromatic Episode 10.5
Mahoromatic Summer Special		Mahoromatic Summer 2003 TV Special
Mahoromatic: Automatic Maiden	Mahoromatic: Automatic Maiden	
Mahoromatic: I&#039;m Home!	Mahoromatic: I&#039;m Home!	Mahoromatic: Tadaima◇Okaeri
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu		Magic School Lunar: Secret of the Blue Dragon
Mahou Sensei Negima!	Negima!	Magister Negi Magi
Mahou Sensei Negima! Anime Final		Gekijouban Negima
Mahou Sensei Negima! Introduction Film		Negima!: Magister Negi Magi Introductin Film
Mahou Sensei Negima! Mou Hitotsu no Sekai		Mahou Sensei Negima! OVA Mahou Sekai
Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue		Mahou Sensei Negima! OVA Mahou Sekai Extra: Mahou Shoujo Yue
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba		Magister Negi Magi: Ala Alba
Mahou Sensei Negima! Tokubetsu Eizou		Mahou Sensei Negima! Music Videos
Mahou Senshi Louie	Rune Soldier	Magical Soldier Louie
Mahou Senshi Sweet Knights: Heroine Ryoujoku Shirei		
Mahou Sensou	Magical Warfare	Mahosen
Mahou Shoujo Ai		Sexy Magical Girl Ai
Mahou Shoujo Ai San: The Anime		
Mahou Shoujo Elena		Mahou Shoujo Erena
Mahou Shoujo Ikusei Keikaku	Magical Girl Raising Project	MahouIku
Mahou Shoujo Isuka		Magical Girl Isuka
Mahou Shoujo Lalabel		Lalabel the Magic Girl
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi		Magical Girl Lalabel: the Sea Calls for a Summer Vacation
Mahou Shoujo Lyrical Nanoha	Magical Girl Lyrical Nanoha	Mahou Shoujo Lyrical Nanoha
Mahou Shoujo Lyrical Nanoha A&#039;s	Magical Girl Lyrical Nanoha A&#039;s	Mahou Shoujo Lyrical Nanoha A&#039;s
Mahou Shoujo Lyrical Nanoha StrikerS	Magical Girl Lyrical Nanoha StrikerS	Nanoha Season 3
Mahou Shoujo Lyrical Nanoha ViVid		Magical Girl Lyrical Nanoha ViVid
Mahou Shoujo Lyrical Nanoha ViVid: Special Program		Mahou Shoujo Lyrical Nanoha ViVid Recap
Mahou Shoujo Lyrical Nanoha: Detonation		Magical Girl Lyrical NANOHA Detonation
Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box		Ririkaru Omochiya Hako
Mahou Shoujo Lyrical Nanoha: Reflection	Magical Girl Lyrical Nanoha Reflection	
Mahou Shoujo Lyrical Nanoha: The Movie 1st	Magical Girl Lyrical Nanoha: The Movie 1st	
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s	Magical Girl Lyrical Nanoha: The Movie 2nd A&#039;s	
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s Mini Picture Drama		
Mahou Shoujo Madoka★Magica	Puella Magi Madoka Magica	Mahou Shoujo Madoka Magika
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	Puella Magi Madoka Magica the Movie Part 1: Beginnings	Mahou Shoujo Madoka Magika Movie 1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Puella Magi Madoka Magica the Movie Part 2: Eternal	Mahou Shoujo Madoka Magika Movie 2
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Puella Magi Madoka Magica the Movie: Rebellion	Mahou Shoujo Madoka Magika Movie 3
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin		
Mahou Shoujo Madoka★Magica: Concept Movie	Puella Magi Madoka Magica Concept Movie	
Mahou Shoujo Meruru	Magic Woman M	Magical Girl Meruru
Mahou Shoujo Nante Mou Ii Desukara.	Mahou Shoujo Nante Mouiidesukara	I&#039;ve Had Enough of Being a Magical Girl
Mahou Shoujo Nante Mou Ii Desukara. Second Season	Mahou Shoujo Nante Mouiidesukara Second Season	Mahou Shoujo Nante Mouiidesukara.
Mahou Shoujo Ore		Magical Girl Ore
Mahou Shoujo Pretty Sammy	Magical Girl Pretty Sammy	Tenchi Muyo: Magical Girl Pretty Samy
Mahou Shoujo Pretty Sammy (1996)	Magical Project S	Mahou Shoujo Pretty Sammy (TV)
Mahou Shoujo Pretty Sammy Specials	Magical Project S Specials	
Mahou Shoujo Sae		
Mahou Shoujo Site		Magical Girl Site
Mahou Shoujo Sonico★Magica	Puella Magi Sonico Magica	Mahou Shoujo Sonico Magika
Mahou Shoujo Taisen	Magica Wars	
Mahou Shoujo wa Kiss Shite Kawaru		
Mahou Shoujo-tai Arusu	Tweeny Witches	Mahou Shoujo-tai Alice
Mahou Shoujo-tai Arusu the Adventure	Tweeny Witches: Alice Adventures	Mahou Shoujo-tai: Alice Adventure
Mahou Shoujo? Naria☆Girls	Mahou Shoujo? Naria Girls	
Mahou Shoujo? Naria☆Girls Nama de Anime wo Tsukuru Sama		
Mahou Yuugi 2D	Magical Play	Magical Witchland
Mahou Yuugi 3D		Magical Witchland
Mahou no Angel Sweet Mint		Magical Angel Sweet Mint
Mahou no Chocolate		Magical Chocolate
Mahou no Hiroba		
Mahou no Idol Pastel Yumi	Magical Idol Pastel Yumi	
Mahou no Mako-chan		Mako the Mermaid
Mahou no Pen		The Magic Pen
Mahou no Princess Minky Momo	Magical Princess Minky Momo	Magical Princess Princess Minky Momo
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami		
Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special		
Mahou no Princess Minky Momo: Yume no Naka no Rondo	Magical Princess Minky Momo: La Ronde in my Dream	Gigi and the Fountain of Youth
Mahou no Princess Minky Momo: Yume wo Dakishimete	Magical Princess Minky Momo: Hold on to Your Dreams	
Mahou no Princess Minky Momo: Yume wo Dakishimete Specials		Mahou no Princess Minky Momo: Yume wo Dakishimete Episode 53.5
Mahou no Rouge Lipstick		
Mahou no Shiho-chan		
Mahou no Stage Fancy Lala	Magical Stage Fancy Lala	
Mahou no Star Magical Emi		Star Magician Magical Emi
Mahou no Star Magical Emi: Finale! Finale!		
Mahou no Star Magical Emi: Kumo Hikaru		
Mahou no Star Magical Emi: Semishigure		
Mahou no Tenshi Creamy Mami	Magical Angel Creamy Mami	Incantevole Creamy
Mahou no Tenshi Creamy Mami no Otogibanashi		Mahou no Tenshi Creamy Mami Picture Drama
Mahou no Tenshi Creamy Mami: Curtain Call	Mahou no Tenshi Creamy Mami: Curtain Call	MTCM: Curtain Call
Mahou no Tenshi Creamy Mami: Eien no Once More		Magical Angel Creamy Mami OVA
Mahou no Tenshi Creamy Mami: Long Goodbye		
Mahou no Tenshi Creamy Mami: Lovely Serenade	Mahou no Tenshi Creamy Mami: Lovely Serenade	MTCM: Lovely Serenade
Mahou no Tenshi Creamy Mami: Perfect Memory		
Mahou no Tenshi Creamy Mami: Zutto Kitto Motto		
Mahou no Yousei Persia		Magical Fairy Persia
Mahou no Yousei Persia Pilot		Magical Fairy Persia: Hodge Podge Dream World
Mahou no Yousei Persia: Escape!		
Mahou no Yousei Persia: Kaiten Mokuba		Magical Fairy Persia Recap
Mahoujin Guru Guru Movie	Magical Circle Guru Guru Movie	The Pickle of Happiness
Mahoujin Guruguru	Magical Circle Guru Guru	
Mahoujin Guruguru (2017)	Magical Circle	
Mahouka Koukou no Rettousei	The Irregular at Magic High School	
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo	The Irregular at Magic High School The Movie - The Girl Who Summons The Stars	Gekijouban Mahouka Koukou no Rettousei
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka!	The irregular at magic high school: Get to Know Magic Studies!	Mahouka for Dummies
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka! Special		Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka! Episode 7
Mahouka x Mameshiba		The irregular at magic high school
Mahoutsukai Chappy		Chappy
Mahoutsukai Haley no Speed Story		
Mahoutsukai Jiji		
Mahoutsukai Nara Miso wo Kue!		Mahoutsukai nara Miso wo Kue!
Mahoutsukai Precure!	Maho Girls Precure!	
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!		Maho Girls PreCure! the Movie: The Miraculous Transformation! Cure Mofurun!
Mahoutsukai Sally	Sally the Witch	Magical Witch Sally
Mahoutsukai Sally (Movie)		
Mahoutsukai Sally 2		Mahoutsukai Sally
Mahoutsukai Sally: Haha no Ai wa Towa ni! Aurora no Tani ni Kodamasuru Kanashimi no Majo no Sakebi!		
Mahoutsukai Sally: Majo ni Natta Yoshiko-chan		Mahou Tsukai Sally 2 Special
Mahoutsukai Tai!	Magic User&#039;s Club	
Mahoutsukai Tai! OVA	Magic User&#039;s Club OVA	
Mahoutsukai Tai! vs. Shamanic Princess		Magic User&#039;s Club! vs. Shamanic Princess
Mahoutsukai ni Taisetsu na Koto	Someday&#039;s Dreamers	
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora	Someday&#039;s Dreamers II: Sora	Someday&#039;s Dreamers: Summer Skies
Mahoutsukai no Yome	The Ancient Magus&#039; Bride	The Magician&#039;s Bride
Mahoutsukai no Yome Recap		Mahoutsukai no Yome Special Digest
Mahoutsukai no Yome: Hoshi Matsu Hito	The Ancient Magus&#039; Bride: Those Awaiting a Star	The Magician&#039;s Bride
Mai Mai Shinko to Sennen no Mahou	Mai-Mai Miracle	Mai Mai Shinko and the Millennium-Old Magic
Mai Zhu	Pig Sale	
Mai no Mahou to Katei no Hi		
Mai-HiME	My-Hime	My Princess
Mai-HiME Specials	My-Hime Specials	My-HiME
