O-bake no... Holly		Holly the Ghost
O-parts: Oman		Out-of-place artifacts: Oman
OL Kaizou Kouza		OL Kaizo Koza
OZ		
Oam Monogatari: Sono Natsu	 Watashi ga Shitta koto	おあむ物語　その夏、わたしが知ったこと
Obaachan no Takaramono		Minna no Uta
Obake Entotsu no Uta		Song of the Chimney Ghosts
Obake Nagaya		
Obake de Ii kara Hayaku Kite		Minna no Uta
Obake no Dokurou	Dokuro the Ghost	
Obake no Q-Tarou: Susume! 1/100 Daisakusen		
Obake no Q-Tarou: Tobidase! Bake Bake Daisakusen		
Obake no Q-tarou		Obake no Q-Taro (1965)
Obake no Q-tarou (1985)		Obake no Q-taro (1985)
Oban Star-Racers		Oban Star Racers
Obatalian		Obatarian
Obocchama-kun		Obotchama-kun
Occultic;Nine	Occultic;Nine	Occultic9
Ocha-ken: Chokotto Monogatari		Tea-dog
Ocha-ken: Hotto Monogatari		
Ocha-ken: Ryokutto Monogatari		Tea-dog
Ochame na Futago: Claire Gakuin Monogatari	The Mischevious Twins	Ochame-na Futago
Ochamegami Monogatari: Korokoro Pollon	Little Pollon	Ochamegami Monogatari: Korokoro Poron
Ochou Fujin no Gensou		Madame Butterfly
Oda Nobuna no Yabou	The Ambition of Oda Nobuna	Oda Nobuna no Yabou
Oda Nobuna no Yabou Recap	The Ambition of Oda Nobuna	Oda Nobuna no Yabou Soshuhen
Oden-kun		Odenkun
Odin: Koushi Hansen Starlight	Odin: Starlight Mutiny	Odin: Photon Space Sailer Starlight
Odoriko Clinoppe		Dancer Clinoppe
Odoroki Ban	Phenakistoscope	
Oedo wa Nemurenai!		Sleepless Oedo
Off Stage	Off Stage	Minna no Uta
Offside		
Offside (TV)		Offside (2001)
Offside Girl		
Ofuro no Kazoe Uta		Counting-out game of Bathing
Ogami Matsugorou		
Ogenki Clinic		Ogenki Clinic Adventures
Oh Yoko!		Oh! Yoko!
Oh! 96-kku	Oh! Crock	Oh! Kuyuujuuroku-kku
Oh! Edo Rocket	Oh! Edo Rocket	Ohedo Rocket
Oh! Family		
Oh! My Konbu		
Oh! Super Milk-chan	The Super Milk-Chan Show	
Oh! Super Milk-chan Special		Super Milk Chan Special
Ohanashi de Te Koi		
Ohayo! Spank		Hello Spank!
Ohayo! Spank (Movie)		
Ohayou! Kokekkou-san		
Ohi-sama to Kaeru	The Sun and the Frogs	Ohisama to Kaeru
Ohoshisama no Rail	Rail of the Star: A True Story of Children	O-Hoshisama no Rail
Oi Pii-tan!!		Hey Pitan!
Oi! Ryouma	Rainbow Samurai	Oi! Ryoma
Oide yo! Mizuryuu Kei Land		
Oide yo! Shiritsu Yarimakuri Gakuen		
Oidon to		
Oira Sukeban		Delinquent in Drag
Oira Uchuu no Tankoufu	Mighty Space Miners	Oira Uchu no Tankofu
Oira no Hijouji	My Big Emergency	
Oira no Ski	My Ski Trip	
Oira no Yakyuu	Our Baseball Match	Oira no Yakyu
Oishi-sa Hajikeru! One Piece		Fanta
Oishinbo		The Gourmet
Oishinbo: Kyuukyoku tai Shikou	 Chouju Ryouri Taiketsu!!	美味しんぼ　究極対至高　長寿料理対決!!
Oishinbo: Nichibei Kome Sensou	Oishinbo: The Japan-America Rice War	Oishinbo: Nichibei Kome Senso
Ojamajo Doremi	Magical DoReMi	Useless Witchgirl Doremi
Ojamajo Doremi Dokkaan!	Useless Witch Doremi Kaboom!	
Ojamajo Doremi Na-i-sho		
Ojamajo Doremi OVA		 おジャ魔女どれみの自転車安全教室
Ojamajo Doremi Sharp		Ojamajo Doremi #
