R-15		R-15
R-15 OVA		R-15 OAD
R.O.D OVA	R.O.D - Read or Die	R.O.D - Read or Die
R.O.D the TV	R.O.D -The TV-	Read or Die TV
R20: Ginga Kuukou	Route 20: Galactic Airport	
RD Sennou Chousashitsu		Real Drive
RDG: Red Data Girl	Red Data Girl	RDG
RE:Map	RE:Map	Remapped
REACH x Thermae Romae: Pietrada no Kekkon		Thermae Romae x REACH
RESTART POiNTER		IDOLiSH7: Restart Pointer
RESTOL: Special Rescue Team	RESTOL	装甲救助部隊レストル
RErideD: Tokigoe no Derrida		
RG Veda	RG Veda	
RGB Adventure	RGB Adventure	
RPG Densetsu Hepoi		Roleplay Densetsu Hepoi
RS Keikaku: Rebirth Storage	RS Project: Rebirth Storage	
Ra/Radio Noise*Planet		La / Radio Noise * Planet
Rabbit		LITE
Radiant	Radiant	
Ragnarök The Animation	Ragnarok the Animation	
Ragnastrike Angels		
RahXephon	RahXephon	
RahXephon Interlude: Her and Herself/Thatness and Thereness		RahXephon Kansoukyoku: Kanojo to Kanojo Jishin to - Thatness and Thereness
RahXephon Specials		
RahXephon: Pluralitas Concentio	RahXephon: Harmonic Convergence	RahXephon: Tagen Hensoukyoku
Rail Wars!	Rail Wars!	
Rain Town		
Rainbow Sentai Robin		Rainbow Battle Team Robin
Rainbow Signal: Hi-Fi Set	Rainbow Signal: Hi-Fi Set	
Rainbow no Anime Bako		Rainbow no Anime Box
Rainbow: Nisha Rokubou no Shichinin	Rainbow	Rainbow: Nisha Rokubou no Shichinin
Raiyantsuuri no Uta		Song of Raiyantsuuri
Raja Maharaja		Minna no Uta
Rakudai Kishi no Cavalry	Chivalry of a Failed Knight	A Chivalry of the Failed Knight
Rakuen Tsuihou	Expelled from Paradise	
Rakugaki Picasso		
Rakugo Tennyo Oyui		Magical Travelers
Rakushou! Hyper Doll		Hyperdoll: Mew & Mica the Easy Fighter
Raldessia Chronicles	Raldessia Chronicles	
Ramayana: The Legend of Prince Rama	Ramayana: The Legend of Prince Rama	Ramayana: Rama Ouji Densetsu
Ramen Daisuki Koizumi-san	Ms. Koizumi Loves Ramen Noodles	
Ramen Tenshi Pretty Menma	Genshiken 2: Menma Special	Genshiken 2 Special
Ran->Sem: Hakudaku Delmo Tsuma no Miira Tori		
Rance 01: Hikari wo Motomete The Animation		Rance 01: The Quest for Hikari
Rance 01: Hikari wo Motomete The Animation - Leazas no Yami		The Darkness of Leazas
Rance: Sabaku no Guardian		Rance: The Desert Guardian
Random (web edit ver.)	Random (web edit ver.)	
Rang Wo Men Shao Ba	Fire X Fire	Rang Women Shao Ba
Rankou Choukyou: Maid ni Natta Shoujo	Rancou Chokyo - Orgy Training	Rancou Choukyo
Ranma ½	Ranma ½	Ranma 1/2
Ranma ½ OVA	Ranma ½ OVA	Ranma 1/2 OVA
Ranma ½ Specials		Ranma 1/2 Specials
Ranma ½ Super		Ranma ½ Super OVA
Ranma ½: 1994 Music Calendar		Ranma 1/2: 1994 Music Calendar
Ranma ½: Akumu! Shunmin Kou		Ranma ½: Okumu! Shunmin Kou
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura	Ranma ½: Huge Battle! 29 Unteachable Fools	Ranma 1/2 Special Video: Battle ga Ippai 29-nin no Korinai Yatsura
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou	Ranma ½: Team Ranma vs. The Legendary Phoenix	Ranma 1/2: Movie 3
