YAT Anshin! Uchuu Ryokou		YAT Anshin! Luxury Space Tours
YAT Anshin! Uchuu Ryokou 2		YAT Anshin! Luxury Space Tours 2
YU-NO		Yuno
Yabai! Fukushuu Yami Site		
Yadamon	Yadamon: Magical Dreamer	Chibikko Kaijuu Yadamon
Yadokari	Yadokari	
Yadosagashi	House Hunting	Looking for a Home
Yagami Yuu	Night Shift Nurses: Yagami Yu	Anime Yagami Yuu
Yagami-kun no Katei no Jijou		Yagami&#039;s Family Affairs
Yagate Kimi ni Naru	Bloom Into You	Eventually
Yahabe		Yahabee
Yahari Ore no Seishun Love Comedy wa Machigatteiru.	My Teen Romantic Comedy SNAFU	Oregairu
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA		Oregairu OVA
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	My Teen Romantic Comedy SNAFU TOO!	Oregairu 2
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA		 女の子はお砂糖とスパイスと素敵な何かでできている。
Yaiyai Mori no Comic		
Yajikita Gakuen Douchuuki		Tales of Yajikita College
Yakan Gakkou no Ura-sensei		
Yakata Jukujo	Milf Mansion	
Yakata: Kannou Kitan		
Yakeato no	 Okashi no Ki	焼跡の
Yakimochi Caprice		
Yakin Byoutou	Night Shift Nurses	NSN
Yakin Byoutou Kranke	Night Shift Nurses: Kranke	
Yakin Byoutou Ni		Night Shift Nurses 2
Yakin Byoutou San	Night Shift Nurses: Experiment	Night Shift Nurses 3
Yakin Byoutou Specials		NSN Specials
Yakiniku-ten Sengoku		
Yakitate!! Japan	Yakitate!! Japan	Freshly Baked!! Ja-pan!
Yakumo Tatsu	Eight Clouds Rising	
Yakusai Kochou	Demon Fighter Kocho	
Yakushiji Ryouko no Kaiki Jikenbo	Ryoko&#039;s Case File	
Yakushiji Ryouko no Kaiki Jikenbo: Hamachou	 Voice & Fiction	薬師寺涼子の怪奇事件簿 浜町ボイス＆フィクション
Yakusoku	Promise	
Yakusoku (ONA)		Promise
Yakusoku no Neverland	The Promised Neverland	
Yakusoku: Africa Mizu to Midori		Promise
Yakyuubu Aruaru		Yakyubu Aruaru
Yakyuukyou no Uta		Song of Baseball Enthusiasts
Yakyuukyou no Uta: Kita no Ookami Minami no Tora		
Yama Hime no Mi		Yamahime no Jitsu
Yama Nezumi Rocky Chuck	Fables of the Green Forest	Rocky Chuck the Mountain Rat
Yama ni Kagayaku: Guide-ken Heiji Gou		Yama ni Kagayaku: Guide Inu Heiji Gou
Yama no Susume	Encouragement of Climb	
Yama no Susume: Kabe tte Kowakunai no?		Yama no Susume Episode 13
Yama no Susume: Omoide Present		Yama no Susume OVA
Yama no Susume: Second Season		Yama no Susume 2nd Season
Yama no Susume: Second Season Specials		Yama no Susume 2nd Season Episode 6.5 and Episode 25
Yama no Susume: Third Season		Yama no Susume Third Season
Yamada-kun to 7-nin no Majo		Yamada-kun to Nananin no Majo
Yamada-kun to 7-nin no Majo (OVA)		Yamada-kun to Nananin no Majo OVA
Yamada-kun to 7-nin no Majo (TV)	Yamada-kun and the Seven Witches	Yamada-kun to Nananin no Majo
Yamaguchi Sanchi no Tsutomu-kun		Minna no Uta
Yamakoshi Mura no Mari to Sanbiki no Koinu		Yamakoshi-mura no Mari to Sanbiki no Koinu
Yamatarou Kaeru	Yamataro Comes Back	
Yamato 2520		
Yamato Nadeshiko Shichihenge♥	The Seven Metamorphoses of Yamato Nadeshiko	Yamato Nadeshiko Shichi Henge
Yamato Takeru		Maxbot
Yamato Takeru: After War		Maxbot: After War
Yamato yo Towa ni	Be Forever Yamato	Yamato to Eternity
